,0,1
265,-16.426332,-18.231827
266,-13.827537,-19.959967
267,-15.513982,-20.421438
268,-16.319904,-17.503368
269,-15.721993,-17.619503
270,-16.634792,-18.313343
271,-17.0697,-19.608706
272,-17.524206,-17.797161
273,-16.937166,-17.63316
274,-15.168751,-20.330061
275,-15.996354,-18.877129
276,-13.83561,-16.777538
277,-15.520905,-19.005438
278,-14.725739,-19.028229
279,-12.783584,-18.61744
280,-13.969398,-18.428644
281,-16.386208,-19.808722
282,-16.77479,-20.054014
283,-15.071214,-18.456724
284,-16.04994,-20.061089
285,-15.388868,-19.861717
286,-16.570913,-19.638311
287,-15.238281,-18.032911
288,-15.229136,-20.258698
289,-15.330682,-20.129839
290,-18.012182,-18.837557
291,-15.707945,-20.134233
292,-16.91399,-19.620642
293,-16.933487,-19.509651
294,-16.316788,-19.243475
295,-15.040174,-18.43403
296,-18.3808,-17.706339
297,-15.747959,-19.744291
298,-16.172668,-19.680746
299,-16.151167,-18.451803
300,-16.261139,-18.094414
301,-15.250833,-20.821619
302,-13.213683,-18.341652
303,-13.594504,-20.04617
304,-15.689033,-19.58761
305,-15.638176,-17.757154
306,-13.91567,-19.527988
307,-15.779712,-17.60105
308,-16.19689,-17.872908
309,-13.766846,-19.737436
310,-14.314588,-20.072016
311,-16.171432,-17.834648
312,-12.782393,-18.411427
313,-14.563179,-19.380026
314,-15.570752,-18.464317
315,-14.356569,-20.050241
316,-16.382032,-17.335411
317,-15.61789,-16.65875
318,-12.733996,-18.48124
319,-12.99681,-17.431429
320,-15.356629,-17.529158
321,-14.584408,-15.846197
322,-15.659272,-17.181887
323,-15.631823,-20.2871
324,-17.210028,-16.932585
325,-16.288065,-16.837923
326,-16.812332,-16.853914
327,-15.461688,-21.539112
328,-16.357689,-17.375244
329,-16.681526,-19.052794
330,-16.227955,-18.97167
331,-15.57497,-19.428663
332,-14.087931,-18.11629
333,-13.96189,-16.965368
334,-16.178093,-20.492723
335,-16.07818,-19.693098
336,-15.472615,-19.843132
337,-15.879916,-18.216795
338,-14.727652,-18.345581
339,-17.733511,-17.95315
340,-17.470446,-17.359283
341,-17.595846,-17.338404
342,-17.425997,-17.408672
343,-17.496758,-18.58434
344,-16.407196,-18.913115
345,-17.155695,-19.126623
346,-17.06686,-18.917217
347,-16.273355,-19.17229
348,-16.02437,-18.81474
349,-16.294039,-18.801012
350,-15.96389,-19.387465
351,-15.176715,-21.031378
352,-17.337196,-19.60263
353,-15.167008,-17.846304
354,-16.437819,-19.45238
355,-16.750528,-19.285135
356,-15.919745,-19.110338
357,-14.948664,-18.96076
358,-13.385319,-16.713953
359,-15.315108,-18.307732
360,-15.324922,-18.847464
361,-16.412256,-19.975391
362,-14.847663,-18.050322
363,-17.75039,-18.915915
364,-17.624487,-17.39062
365,-17.424547,-17.936201
366,-16.477772,-17.521
367,-16.703545,-17.867504
368,-15.331507,-18.102627
369,-16.726818,-17.846918
370,-17.69704,-18.529333
371,-17.598158,-18.94887
372,-17.218178,-18.877748
373,-16.331745,-19.203735
374,-16.54795,-18.999195
375,-15.877978,-20.015673
376,-16.276873,-17.372856
377,-17.684202,-17.527056
378,-16.871637,-18.902905
379,-16.600317,-18.668991
380,-18.220457,-18.732948
381,-17.576387,-17.742424
382,-17.668549,-18.7574
383,-17.689743,-18.976223
384,-16.82108,-18.813013
385,-15.699616,-19.865353
386,-16.281687,-18.696167
387,-15.027464,-17.780272
388,-14.193785,-20.645327
389,-17.395697,-17.465893
390,-15.452185,-18.110945
391,-15.877582,-18.803278
392,-15.977237,-16.84902
393,-15.174961,-17.707302
394,-16.300755,-19.204954
395,-15.449437,-17.89031
396,-17.408537,-17.206638
397,-17.602695,-19.08169
398,-15.968021,-19.649096
399,-16.34788,-18.07032
400,-17.385056,-18.088522
401,-15.197887,-17.74008
402,-17.883163,-18.796589
403,-17.512262,-17.859379
404,-17.258774,-16.876974
405,-17.639135,-17.703335
406,-17.323856,-18.11596
407,-17.275473,-16.876055
408,-17.269876,-16.94076
409,-16.876785,-18.837273
410,-17.68666,-18.668438
411,-17.728926,-18.416185
412,-16.809177,-18.718525
413,-16.688011,-18.878529
414,-18.214825,-18.626596
415,-17.361126,-19.22327
416,-17.733526,-18.356895
417,-16.802996,-18.795998
418,-17.695337,-19.032406
419,-17.527397,-18.537304
420,-17.594423,-17.696594
421,-17.75424,-18.597307
422,-17.750284,-18.998596
423,-17.709988,-18.955673
424,-17.79344,-17.998478
425,-17.671917,-18.655235
426,-17.744698,-17.880411
427,-17.538937,-17.91486
428,-17.980762,-18.463207
429,-17.703552,-18.89905
430,-18.16617,-18.691996
431,-17.169659,-18.631302
432,-16.683403,-18.038246
433,-18.099098,-18.729897
434,-14.9002695,-20.55387
435,-14.374952,-18.582426
436,-13.589239,-17.680157
437,-13.026366,-17.785305
438,-15.878886,-18.639542
439,-15.56948,-16.678915
440,-15.612092,-16.668837
441,-13.864261,-20.558022
442,-17.432556,-19.124155
443,-15.164449,-18.446243
444,-14.823787,-18.249977
445,-18.051336,-18.091362
446,-13.047704,-18.487282
447,-15.373488,-16.862505
448,-17.712181,-18.448112
449,-15.514354,-20.871159
450,-16.413877,-20.312696
451,-15.848428,-17.849194
452,-13.677703,-20.004656
453,-15.138296,-18.020044
454,-13.504856,-17.419785
455,-13.496108,-17.364826
456,-14.290224,-20.394907
457,-15.720554,-19.765886
458,-15.993252,-19.194742
459,-13.470624,-18.071512
460,-13.370139,-20.00506
461,-17.228273,-16.888588
462,-16.972858,-19.034632
463,-12.847879,-19.069248
464,-14.0251875,-17.934593
465,-13.94875,-17.72844
466,-14.33266,-17.62319
467,-14.18214,-18.19604
468,-14.124416,-18.058212
469,-14.381774,-17.658041
470,-14.317173,-17.812506
471,-14.466645,-17.61535
472,-15.827751,-20.839546
473,-14.48713,-20.671505
474,-13.19957,-17.656012
475,-12.670259,-19.279907
476,-12.798089,-19.181162
477,-13.320686,-19.126638
478,-18.126888,-17.191679
479,-15.357291,-16.425993
480,-16.0268,-16.014301
481,-15.652853,-17.449099
482,-13.730754,-19.621689
483,-14.958112,-16.697355
484,-15.595928,-17.516594
485,-17.499933,-18.166407
486,-14.152799,-16.68546
487,-17.658232,-17.957188
488,-12.675937,-19.532232
489,-12.937468,-19.545248
490,-13.866807,-17.19507
491,-13.299321,-16.847776
492,-14.344914,-20.623024
493,-15.215791,-19.368692
494,-15.403824,-21.029667
495,-15.181691,-20.059158
496,-16.329071,-20.749569
497,-15.912177,-17.044409
498,-16.066555,-16.040375
499,-16.064507,-16.014357
500,-12.983774,-20.560621
501,-13.693642,-19.733349
502,-13.105219,-20.282019
503,-13.226529,-20.214844
504,-15.169322,-16.98701
505,-13.388899,-17.546988
506,-12.843036,-20.44736
507,-17.50928,-18.872686
508,-16.170347,-17.610287
509,-15.862572,-20.426546
510,-14.329823,-20.26212
511,-16.186113,-20.793055
512,-14.024335,-20.248072
513,-14.525245,-19.833254
514,-14.299962,-20.412035
515,-17.237463,-17.51463
516,-14.026013,-19.75752
